,fips_code,state,name,poor_or_fair_health,monthly_poor_physical_health_days,monthly_poor_mental_health_days,adult_smoking,adult_obesity,physical_inactivity,access_to_exercise,excessive_drinking,alcohol_impaired_driving_deaths,uninsured_under_65,primary_care_physicians,dentists,mental_health_providers,flu_vaccinations,high_school_grad,some_college,unemployed,children_in_poverty,single_parent_households,social_associations,violent_crime,injury_deaths,severe_housing_problems,households_with_high_housing_costs,households_with_overcrowding,households_with_lack_of_kitchen_or_plumbing_facilities,life_expectancy,diabetes_prevalence,hiv_prevalence,limited_access_to_healthy_foods,drug_overdose_deaths,motor_vehicle_crash_deaths,uninsured_adults,uninsured_children,other_primary_care_providers,median_household_income,children_eligible_for_free_or_reduced_price_lunch,homicides,firearm_fatalities,homeownership,severe_housing_cost_burden,population,proficient_in_English
1427,28000,MS,Mississippi,0.2221066886,4.3747357837,4.4202194192,0.22740651280000002,0.365,0.313,0.5547341570000001,0.13677044929999999,0.21227855829999998,0.1397982996,0.0005276496,0.00046747760000000004,0.0014245501000000002,0.39,0.8325456315,0.5903281798,0.0507460075,0.276,0.44214889840000005,12.55718992,279.48428872,84.974059301,0.16274011830000001,0.1142758100237034,0.02413388488097364,0.012604037874419322,74.81002752399999,0.141,374.0,0.1065940581,11.790086489,23.52504315,0.1783955516,0.0469222029,0.0010157166,43595.0,0.7498654656999999,10.7,19.3,0.6811413358,0.1354814772,2984100.0,0.0079506612
1428,28001,MS,Adams County,0.2523478033,4.2945139139999995,4.3353781119,0.2286402875,0.37799999999999995,0.309,0.6907762331,0.125201111,0.3076923077,0.1408414351,0.0008320533,0.0004515692,0.0007096086999999999,0.44,0.8,0.4407412345,0.07291387769999999,0.444,0.6148982958,14.72094214,303.72295457,96.610988229,0.1442429355,0.12393385550000001,0.0299451708,0.0046393927,74.45184441100001,0.145,384.4,0.1333677915,11.764076787,17.605554327,0.1789523584,0.0423476969,0.0010966681,31044.0,1.0,15.3,23.5,0.6246415848,0.1542413863,31003.0,0.0669141218
1429,28003,MS,Alcorn County,0.20682936510000002,4.2408557785,4.4092418723,0.19156574640000001,0.36,0.348,0.2787597485,0.13591812080000001,0.1538461538,0.1418199901,0.0002948745,0.00048374089999999995,0.0027411986,0.42,0.878178392,0.5838570956,0.0439888164,0.252,0.29099919329999996,13.135320609,0.0,98.071790694,0.1502870652,0.1098293515,0.0260047281,0.0168861871,73.32460363199999,0.13699999999999998,125.5,0.0467915396,15.19186431,24.155145045999998,0.17998333489999999,0.04823932,0.0013974738,39528.0,0.6171148317,9.6,21.4,0.7020783646,0.0904892481,37210.0,0.0088266279
1430,28005,MS,Amite County,0.2333935635,4.4451749602,4.3713445751,0.2068875079,0.413,0.341,0.40781357090000003,0.1132236496,0.3076923077,0.1720250522,0.00016053940000000002,0.0002410219,8.034060000000001e-05,0.2,0.882537342436436,0.4337307153,0.0665335995,0.316,0.3439273553,16.856638305,0.0,93.640389163,0.11434302910000001,0.09368635439999999,0.014042126399999999,0.0110330993,76.330296277,0.163,187.6,0.0893496081,3.2121491315,32.574021656,0.2101593625,0.0691964286,0.0005623844999999999,35422.0,1.0,12.4,15.9,0.8584301161,0.09396853150000001,12447.0,0.0014323026
1431,28007,MS,Attala County,0.2239451868,4.2119890127,4.1153170362000004,0.18738781059999998,0.395,0.336,0.33929666729999997,0.1218382266,0.0833333333,0.138016143,0.0004753354,0.000324728,0.00027060669999999997,0.47,0.825,0.5377948965,0.061400980099999995,0.318,0.4414904752,14.260061265,0.0,95.85606842600001,0.1624161074,0.1204901293,0.033557047,0.013422818799999998,71.916088005,0.17,205.7,0.1151357226,3.2121491315,30.698503261,0.1800058066,0.0467728758,0.0005953347,35158.0,0.7569014085,10.5,20.0,0.7054641762,0.12424242419999999,18477.0,0.0015458605
1432,28009,MS,Benton County,0.2266095074,4.2649570599,4.3161168578,0.20300954969999999,0.36,0.315,0.7721388475,0.124410077,0.1764705882,0.14783001810000002,0.0005494051553956835,0.00024061599999999997,0.000360924,0.41,0.775,0.3615301724,0.0553372626,0.33899999999999997,0.3273615635,9.6805421104,0.0,108.10810811,0.1382799325,0.1271794872,0.0219224283,0.0047217538,71.978073445,0.14800000000000002,216.9,0.2155023234,3.2121491315,44.002910962,0.18442622949999998,0.048413125300000005,0.00048123199999999995,35797.0,0.8480686695,0.7,1.7,0.8273648648999999,0.0859906843,8312.0,0.0072590738
1433,28011,MS,Bolivar County,0.2883650431,4.9926744806,4.647934752099999,0.23007366899999998,0.392,0.32,0.4928100747,0.10764597769999999,0.23076923079999997,0.14088962619999998,0.0005192901,0.0004069494,0.0005321647,0.37,0.8221682464,0.577382374,0.06453600309999999,0.415,0.6531333821,15.884167760999999,0.0,82.016149945,0.19749596120000001,0.1614876033,0.036752827099999996,0.007189014499999999,71.874094784,0.152,448.0,0.243515998,3.2121491315,28.26600884,0.1808087504,0.0497512438,0.0009391141,34216.0,0.9222277973,17.6,25.9,0.5543327627,0.1999467282,31945.0,0.0038001819
1434,28013,MS,Calhoun County,0.2508186026,4.4199195298000005,4.3299678129000005,0.2059128759,0.39,0.37200000000000005,0.6266541906,0.1200493648,0.1764705882,0.18926481809999998,0.0001368925,0.00020701080000000001,6.900359999999999e-05,0.42,0.875,0.4377044306,0.0430668842,0.304,0.42557471259999996,16.427104723,0.0,91.407678245,0.1283783784,0.10856164380000001,0.027027027000000002,0.0040540541,74.385560436,0.187,140.2,0.04279352559999999,3.2121491315,32.020803819,0.24049725079999998,0.067219917,0.0004830251,35886.0,0.7903671536,0.7,15.0,0.7119425934999999,0.1122826489,14492.0,0.011582167800000001
1435,28015,MS,Carroll County,0.1898393354,3.816175337,3.812055964,0.171366336,0.364,0.374,0.32009059170000004,0.1353190185,0.13636363640000002,0.15760585470000002,0.0001950268,0.00019725810000000002,0.00151670365715743,0.41,0.825,0.5892672859,0.058103975499999995,0.244,0.2937965261,8.7762067284,0.0,66.307824323,0.1285520974,0.11016949150000001,0.0146143437,0.0094722598,78.193302525,0.16899999999999998,272.9,0.19637604960000002,3.2121491315,36.075036075,0.1932119498,0.0600472813,0.0002958872,40798.0,0.9195736434,0.7,1.7,0.8145879733,0.13431433939999998,10139.0,0.0034907598
1436,28017,MS,Chickasaw County,0.2610951568,4.5238136561,4.2797644593,0.21255004510000003,0.408,0.3,0.2293583257,0.12070355880000001,0.2173913043,0.1732181425,0.0005218601,0.0003499358,0.0002916132,0.38,0.8419950739000001,0.4513487476,0.0524381625,0.29600000000000004,0.4546508931,13.336425838,0.0,93.810803298,0.1696222051,0.14515625,0.0308404009,0.0021588281,74.767724981,0.157,211.3,0.022205306400000003,3.2121491315,26.47165878,0.22418394579999998,0.055656934299999995,0.000641549,37231.0,0.8823326431999999,0.7,12.7,0.7083978928,0.1456732376,17146.0,0.0108081247
